wavelength_nm,relative_intensity
1531.26,0.9046363
1531.27,0.90725815
1531.28,0.90425426
1531.29,0.9073223
1531.3,0.9099416
1531.31,0.9092736
1531.32,0.91051435
1531.33,0.9100971
1531.34,0.91213787
1531.35,0.9124128
1531.36,0.9112668
1531.37,0.91539854
1531.38,0.91116196
1531.39,0.9141428
1531.4,0.9123167
1531.41,0.91295904
1531.42,0.913065
1531.43,0.91360813
1531.44,0.91509163
1531.45,0.91365737
1531.46,0.9127827
1531.47,0.91762865
1531.48,0.91400176
1531.49,0.9119116
1531.5,0.91836643
1531.51,0.9192096
1531.52,0.9169466
1531.53,0.91816205
1531.54,0.9159852
1531.55,0.9187372
1531.56,0.922547
1531.57,0.9188074
1531.58,0.9229829
1531.59,0.92509985
1531.6,0.9255806
1531.61,0.9284816
1531.62,0.9263459
1531.63,0.9320552
1531.64,0.9273547
1531.65,0.92424744
1531.66,0.9259942
1531.67,0.924207
1531.68,0.9255087
1531.69,0.9279531
1531.7,0.9286612
1531.71,0.9321729
1531.72,0.93198013
1531.73,0.93410987
1531.74,0.9346893
1531.75,0.9331758
1531.76,0.9323295
1531.77,0.93184906
1531.78,0.9273615
1531.79,0.93230325
1531.8,0.9370604
1531.81,0.9389208
1531.82,0.93799233
1531.83,0.9414056
1531.84,0.9402392
1531.85,0.93999016
1531.86,0.94139117
1531.87,0.93836784
1531.88,0.9389213
1531.89,0.94265336
1531.9,0.939381
1531.91,0.94067854
1531.92,0.94300747
1531.93,0.9442693
1531.94,0.94259167
1531.95,0.9449535
1531.96,0.94677985
1531.97,0.9469072
1531.98,0.9481281
1531.99,0.9475967
1532.0,0.95101553
1532.01,0.9484943
1532.02,0.94468915
1532.03,0.9455768
1532.04,0.9439771
1532.05,0.9449929
1532.06,0.94283444
1532.07,0.9452626
1532.08,0.9439416
1532.09,0.9419055
1532.1,0.9440423
1532.11,0.9415343
1532.12,0.9411214
1532.13,0.93652254
1532.14,0.94118845
1532.15,0.94262075
1532.16,0.94503164
1532.17,0.94499743
1532.18,0.9476366
1532.19,0.950091
1532.2,0.9447079
1532.21,0.9458658
1532.22,0.95038074
1532.23,0.94677544
1532.24,0.9435264
1532.25,0.9520181
1532.26,0.95028126
1532.27,0.9539155
1532.28,0.9509378
1532.29,0.95246947
1532.3,0.9543664
1532.31,0.9436862
1532.32,0.9517659
1532.33,0.95269215
1532.34,0.95257324
1532.35,0.9557024
1532.36,0.9531715
1532.37,0.95470035
1532.38,0.95490414
1532.39,0.95379496
1532.4,0.9525655
1532.41,0.95477843
1532.42,0.9559146
1532.43,0.95682406
1532.44,0.9545927
1532.45,0.95055217
1532.46,0.95107824
1532.47,0.94855416
1532.48,0.9477101
1532.49,0.9509642
1532.5,0.9501761
1532.51,0.9548802
1532.52,0.95356745
1532.53,0.9529483
1532.54,0.9536443
1532.55,0.9553986
1532.56,0.9564222
1532.57,0.9515125
1532.58,0.95004594
1532.59,0.9540649
1532.6,0.9505944
1532.61,0.9510767
1532.62,0.94958234
1532.63,0.950313
1532.64,0.95231813
1532.65,0.9517877
1532.66,0.9550293
1532.67,0.9534885
